Ability_ID,Ability Name,Short_Description,Tiny_Description,Long_Description,Tags,Visibility_ID,Default_Active
VEILING_SMOKE,Veiling Smoke,Once per phase — Smokescreen can target UNIT again; that use costs -1 CP and does not block other uses.,Smokescreen costs 1 CP less,"Once per phase, per unit — You can target this unit with the Smokescreen stratagem, regardless of any other uses of that stratagem this phase. If you do, that use is -1 CP and that use does not prevent any uses of that stratagem on other units this phase.",SHOOT,2,
SHADOWMASTER,Trifold Path of Shadow,"STEALTH / 3"" DETECTION RANGE",Stealth; detection range 3”,"This unit has:
• Stealth.
• 3"" detection range.",SHOOT,2,1
SHIELD_DOME,Shield Dome,UNIT has 5+ InvS. [INVULNERABLE SAVE 5+],Invulnerable save 5+,This unit has 5+ InvS.,"SHOOT, MELEE, [STATS] [INVULNERABLE SAVE 5+]",2,
SKILLED_RIDERS,Skilled Riders,MOBILE,Mobile,This unit has MOBILE.,,2,1
SPEAR_OF_CHOGORIS,Spear of Chogoris,"RANGED: ASSAULT
ADVANCE: eligible to CHARGE
ASSAULT DOCTRINE: +1 ADVANCE / CHARGE",Assault; Adv/Charge boost,"• This unit’s ranged attacks have [ASSAULT].
• When this unit is selected to make an advance move, that advance move does not prevent this unit from being eligible to declare a charge.
• If the assault doctrine is active for this unit, this unit has +1 to advance and charge rolls.",SHOOT,2,1
STEALTH,Stealth,Model is -1 To Hit with Ranged. [STEALTH],Incoming ranged Hit -1,Model is -1 To Hit with Ranged.,"SHOOT, [STEALTH]",2,
VETERAN_MARKSMEN,Veteran Marksmen,RANGE — re-roll Hit rolls of 1. [RE-ROLL 1S TO HIT],Ranged re-roll Hit 1s,This unit’s ranged attacks can re-roll hit rolls of 1.,[SHOOT] [WEAPONS] [RE-ROLL 1S TO HIT],2,
STORM_OF_VENGEANCE,Storm of Vengeance,"Shoot back if 6"" destroyed",Ally dies: shoot back,"Once per turn, in your opponent’s Shooting phase, when a friendly Adeptus Astartes unit within 6"" of this model is destroyed, this model can use this ability (it cannot use this ability when it is itself destroyed). 

If it does, after the attacking unit has finished making its attacks, this model can shoot as if it were your Shooting phase, but when resolving those attacks it can only target that enemy unit (and only if it is an eligible target).",SHOOT,2,
STORM_SHIELD,Storm Shield,4+ Invul (included) [INVULNERABLE SAVE 4+],Invulnerable save 4+,4+ Invul (included),"SHOOT, MELEE, [STATS] [INVULNERABLE SAVE 4+]",2,
STORM_SHIELD_TERMINATORS,Storm Shield,+1 Wound (included) [+1 W],,Storm Shield\u003A The bearer has a Wounds characteristic of 4.,"STATS, [+1 W]",3,1
STRATEGIC_KNOWLEDGE,Strategic Knowledge,Fall Back and Shoot. [FALL BACK AND SHOOT],Fall Back and Shoot,Fallback and Shoot,"SHOOT, [FALL BACK AND SHOOT]",2,
STRIKES_OF_RETRIBUTION,Strikes of Retribution,"Every 4+ Save, attacker gets Mortals. 
Max 6 per attacking unit. Melee only.",Melee saves 4+ deal MW back,"Each time a melee attack is allocated to this model, after the attacking model’s unit has finished making its attacks, roll one D6 (to a maximum of six D6 per attacking unit): for each 4+, the attacking unit suffers 1 mortal wound.",MELEE,2,
SUPPRESSION_FIRE,Suppression Fire,Autocannon hit = target suppressed; -1 To Hit until your next turn. [ENEMY -1 TO HIT],Autocannon hit: enemy Hit-1,"In your Shooting phase, after this unit has shot, choose one enemy unit hit by one or more accelerator autocannon attacks. 

Until your next turn starts, while this unit remains on the battlefield, that enemy unit is suppressed. Suppressed units subtract 1 from Hit rolls when attacking.","SHOOT, [ENEMY -1 TO HIT]",2,
SUPREME_GRAND_MASTER,Supreme Grand Master,Unit gains SUSTAINED HITS 1 [SUSTAINED HITS 1] [SUSTAINED HITS 1],Unit gains Sustained Hits 1,"While this model is leading a unit, weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.",[UNIT] [SHOOT] [MELEE] [WEAPONS] [SUSTAINED HITS 1],2,
TACTICAL_PRECISION,Tactical Precision,UNIT attacks have [LETHAL HITS:non-MONSTER/VEHICLE].,Attacks Lethal vs non-M/V,This unit’s attacks have [LETHAL HITS:non-MONSTER/VEHICLE].,[SHOOT] [MELEE] [WEAPONS],2,
TARGETER_OPTICS,Targeter Optics,SHOOTING — visible enemy — RANGE [IGNORES COVER].,Visible target: Ignore Cover,This unit’s ranged attacks that target a visible enemy unit have [IGNORES COVER].,[SHOOT] [WEAPONS] [ACTIVE] [IGNORES COVER],2,
TECHMARINE,Techmarine,"Lone Operative if within 3"" of Vehicle.

Lone Operative: Cannot be targetted outside of 12"". [LONE OP]",Near Vehicle - Lone Op,"While this model is within 3"" of one or more friendly Adeptus Astartes Vehicle units, this model has the Lone Operative ability.

Lone Operative: Cannot be targetted outside of 12"".","SHOOT, [LONE OP]",2,
Teleport_Homer,Teleport Homer,"Once per battle — Rapid Ingress via Teleport Homer costs -1 CP; arrive within 3"" of token and not within 8"" of enemy.",Ingress costs 1 CP less,"Once per battle, per unit — At the start of the battle, you can set up one Teleport Homer token for this unit on the battlefield. When you target this unit with the Rapid Ingress stratagem, you can use that Teleport Homer token. If you do, that use is -1 CP, but when resolving that stratagem, this unit must be set up within 3"" of that Teleport Homer token and not within 8"" of an enemy unit. That Teleport Homer token is then removed from the battlefield. If an enemy unit ends a move within 1"" of that Teleport Homer token, that Teleport Homer token is removed from the battlefield.",[INGRESS],2,
TEMPORMORTIS,Tempormortis,UNIT has FIGHTS FIRST.,Fight First,This unit has Fights First.,"MELEE, [FIGHTS FIRST]",2,
TERMINATOR_STORM_SHIELD,Terminator Storm Shield,6 wounds (included),,6 wounds (included),,2,
TERMINATUS_ASSAULT,Terminatus Assault,CHARGE this turn — Lightning Claws [SUSTAINED HITS 1 — non-MONSTER/VEHICLE]; Thunder Hammer [SUSTAINED HITS 1 — MONSTER/VEHICLE].,Charge: melee Sustained 1,"If this unit made a charge move this turn, this unit’s Lightning Claws weapons have [SUSTAINED HITS 1 — non-MONSTER/VEHICLE]. This unit’s Thunder Hammer weapons have [SUSTAINED HITS 1 — MONSTER/VEHICLE].",[MELEE] [WEAPONS] [ACTIVE],2,
TERROR_TROOPS_AURA,Terror Troops (Aura),"Enemy model within 3"" of UNIT — -1 OC.",Enemy within 3” - OC -1,"While an enemy model is within 3"" of this unit, that enemy model has -1 OC.",,2,
THE_EMPERORS_SHIELD,The Emperor’s Shield,Attacks Higher than Toughness = -1 To Wound [INCOMING -1 TO WOUND],Higher S attacks - Wound -1,"Each time an attack is allocated to this model, if the Strength characteristic of that attack is greater than the Toughness characteristic of this model, subtract 1 from the Wound roll.","SHOOT, MELEE, [INCOMING -1 TO WOUND]",2,
THE_LION_HELM,The Lion Helm,"Unit has 4++. Once per battle, 4+++ vs. Mortal Wounds. [INVULNERABLE SAVE 4+] [FNP 4+]",4++; once/battle MW FNP 4+,"Models in the bearer’s unit have a 4+ invulnerable save. In addition, once per battle, at any time, the bearer can summon a Watcher in the Dark. When it does, until the end of the phase, models in the bearer’s unit have the FNP 4+ ability against mortal wounds.","SHOOT, MELEE, [INVULNERABLE SAVE 4+] [FNP 4+]",2,
FULL_THROTTLE_ASSAULT,Full-throttle Assault,CHARGE this turn — MELEE [SUSTAINED HITS 1]; Thunder Hammer +1 To Hit; other MELEE +1 D.,Charge: Sustained1 + Hit/Dmg,"If this unit made a charge move this turn, this unit’s Thunder Hammer weapons have +1 to hit rolls and [SUSTAINED HITS 1]. Other melee weapons have +1 D and [SUSTAINED HITS 1].",[MELEE] [WEAPONS] [ACTIVE] [SUSTAINED HITS 1],2,
THUNDERSTRIKE,Thunderstrike,Units get +1 TO WOUND vs MONSTERS and VEHICLES [+1 TO WOUND],Ranged vs M/V - Wound +1,This unit’s ranged attacks that target a MONSTER or VEHICLE unit have +1 to wound rolls.,[SHOOT] [WEAPONS] [+1 TO WOUND],2,
TOTAL_OBLITERATION,Total Obliteration,RANGE  [Re-roll Damage],Ranged re-roll Damage,This unit’s ranged attacks can re-roll damage rolls.,"SHOOT, WEAPONS, RE-ROLL DAMAGE",1,0
TRANSPORT_DROP_POD,Transport - Drop Pod,Transport 12 ADEPTUS ASTARTES INFANTRY; no GRAVIS/JUMP PACK/TERMINATOR.,,"This model has a transport capacity of 12 ADEPTUS ASTARTES INFANTRY models. It cannot transport GRAVIS, JUMP PACK or TERMINATOR models.",,3,
TRANSPORT_IMPULSOR,Transport - Impulsor,Transport 7 ADEPTUS ASTARTES INFANTRY; no TERMINATOR/JUMP PACK; GRAVIS counts as 2.,,This model has a transport capacity of 7 ADEPTUS ASTARTES INFANTRY models. It cannot transport TERMINATOR or JUMP PACK models. Each GRAVIS model takes up the space of 2 models.,,3,
TRANSPORT_LAND_RAIDER_REDEEMER,Transport - Land Raider Redeemer,Transport 14 ADEPTUS ASTARTES INFANTRY; no JUMP PACK; GRAVIS/TERMINATOR count as 2.,,This model has a transport capacity of 14 ADEPTUS ASTARTES INFANTRY models. It cannot transport JUMP PACK models. Each GRAVIS or TERMINATOR model takes up the space of 2 models.,,3,
TRANSPORT_REPULSOR_EXECUTIONER,Transport - Repulsor Executioner,Transport 7 ADEPTUS ASTARTES INFANTRY; no JUMP PACK; GRAVIS/TERMINATOR count as 2.,,This model has a transport capacity of 7 ADEPTUS ASTARTES INFANTRY models. It cannot transport JUMP PACK models. Each GRAVIS or TERMINATOR model takes up the space of 2 models.,,3,
TRANSPORT_REPULSOR,Transport - Repulsor,Transport 14 ADEPTUS ASTARTES INFANTRY; no JUMP PACK; GRAVIS/TERMINATOR count as 2.,,This model has a transport capacity of 14 ADEPTUS ASTARTES INFANTRY models. It cannot transport JUMP PACK models. Each GRAVIS or TERMINATOR model takes up the space of 2 models.,,3,
UNBREAKABLE_RESOLVE,Unbreakable Resolve,FNP 4+ near an objective or battlefield centre [FNP 4+],Near Obj/centre - FNP 4+,"While this model is within range of an objective or within 6"" of the centre of the battlefield, it has FNP 4+.","SHOOT, MELEE, [FNP 4+]",2,
UNORTHODOX_STRATEGIST,Unorthodox Strategist,"Enemy within 12"" CP cost +1",Enemy 12”: Stratagem +1CP,"Unorthodox Strategist (Aura): Each time your opponent targets a unit from their army with a Stratagem, if that unit is within 12"" of this model, increase the cost of that use of that Stratagem by 1CP (this is not cumulative with any other rules that would increase the CP cost of that Stratagem).",,2,
UNTO_THE_ANVIL,Unto the Anvil,"MELEE: RE-ROLL WOUND 1S
ASSAULT DOCTRINE: RE-ROLL ALL WOUNDS",Melee reroll 1s; doc all,"This unit’s melee attacks can:
• Re-roll wound rolls of 1.
• Or, if the assault doctrine is active for this unit, re-roll wound rolls.",MELEE,2,1
UNYIELDING_IN_THE_FACE_OF_THE_FOE,Unyielding in the Face of the Foe,While controlling an objective — [+1 SAVE].,On objective - Save +1,"While this unit is controlling an objective, this unit has +1 to save rolls.","SHOOT, MELEE, [STATS] [ACTIVE]",2,
VANGUARD_ASSAULT,Vanguard Assault,CHARGE this turn — MELEE [+1 A].,Charge - melee Attacks +1,"If this unit made a charge move this turn, this unit’s melee attacks have +1 A.",[MELEE] [WEAPONS] [ACTIVE] [+1 A],2,
VEIL_OF_TIME_PSYCHIC,Veil of Time,ADVANCE psychic roll — on 1 battle-shocked; otherwise change Advance roll to 6.,Advance = 6 on psychic pass,"Psychic level 1 — When this unit is selected to make an Advance move, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. On a 1, this unit is battle-shocked. Otherwise, this unit can change that Advance roll to a 6.",,2,
VENGEANCE_OF_THE_OMNISSIAH,Vengeance of the Omnissiah,"If Vehicle destroyed within 12"", until the end of the battle, Omnissian power axe Attacks = 7.",Vehicle dies - axe Attacks 7,"If a friendly Adeptus Astartes Vehicle model is destroyed within 12"" of this model, until the end of the battle, this model’s Omnissian power axe has an Attacks characteristic of 7.",MELEE,2,
WATCHER_IN_THE_DARK,Watcher in the Dark,Once: 4+ FNP vs. Mortal Wounds [FNP 4+],Once/battle MW FNP 4+,"Once per battle, in any phase, just after a mortal wound is allocated to an ADEPTUS ASTARTES model in this unit, this unit can summon a Watcher in the Dark. When it does, until the end of the phase, models in this unit have the FNP 4+ ability against mortal wounds.","SHOOT, MELEE, [FNP 4+]",2,
HAIL_OF_BOLTS,Hail of Bolts,Add +2 Attacks to bolt rifles against one selected visible enemy unit [+2 A],Bolt rifles A +2 vs target,"In your Shooting phase, when this unit is selected to shoot, select one enemy unit visible to it. While making attacks, this unit’s bolt rifles that target that selected unit have +2 Attacks.","SHOOT, [+2 A]",2,
INTERCESSOR_SQUAD_LOADOUT,Unit Composition: Intercessor Squad,"1 Sergeant
4-9 Intercessors",,"1 Intercessor Sergeant model
4-9 Intercessor models
Every model is equipped with
1 Bolt Pistol; 1 Bolt Rifle; 1 Knives and Fists.",,3,
VANGUARD_VETERAN_SQUAD_WITH_JUMP_PACKS_LOADOUT,Unit Composition: Vanguard Veteran Squad with Jump Packs,5 models; 4 heavy bolt pistols and 1 plasma pistol,,Unit Composition: 1 Vanguard Veteran Sergeant and 4 Vanguard Veterans. The Vanguard Veteran Sergeant and 3 Vanguard Veterans are each equipped with: 1 heavy bolt pistol; 1 master-crafted power weapon. 1 Vanguard Veteran is equipped with: 1 plasma pistol; 1 master-crafted power weapon.,,3,
LEADER_AZRAEL,Leader: Azrael,"Can Lead: Most INFANTRY like
Intercessors, Hellblasters
Infernus, Sternguard Vets",,"LEADER: ASSAULT INTERCESSOR SQUAD, BLADEGUARD VETERAN SQUAD, HELLBLASTER SQUAD, INFERNUS SQUAD, INNER CIRCLE COMPANIONS, INTERCESSOR SQUAD, STERNGUARD VETERAN SQUAD, TACTICAL SQUAD",,3,
LEADER_BELIAL,Leader: Belial,"Can Lead: TERMINATORS
Terminators, Assault Terminators
Deathwing Knights",,"LEADER: DEATHWING KNIGHTS, DEATHWING TERMINATOR SQUAD, TERMINATOR ASSAULT SQUAD, TERMINATOR SQUAD",,3,
LEADER_RAVENWING_COMMAND_SQUAD,Leader: Ravenwing Command Squad,"Can Lead: MOUNTED
Outriders, Black Knights",,"LEADER: OUTRIDER SQUAD, RAVENWING BLACK KNIGHTS",,3,
LEADER_CAPTAIN_WITH_JUMP_PACK,Leader: Captain with Jump Pack,"Can Lead: JUMP PACK
Jump Intercessors, Vanguard Vets
Sanguinary Guard",,"LEADER: ASSAULT INTERCESSORS WITH JUMP PACKS, SANGUINARY GUARD, TALONSTRIKE KILL TEAM, VANGUARD VETERAN SQUAD WITH JUMP PACKS",,3,
MELEE_INVULNERABLE_SAVE_4,Psychic Ward,PSYCHIC attacks — 4+ InvS.,Invul 4+ vs Psychic attacks,This model has a 4+ invulnerable save against psychic attacks.,"SHOOT, MELEE",2,
MASTERFUL_TACTICIAN,Masterful Tactician,"If on the battlefield at the start of your Command phase, gain 1CP. [GAIN 1 CP]",Command phase - gain 1CP,"At the start of your Command phase, if this model is on the battlefield, you gain 1CP.",[GAIN 1 CP],2,
ANGELS_WRATH,Angel’s Wrath,"After a Charge while leading, +1 S to the unit’s melee weapons this turn. [+1 S]",Charge - melee Strength +1,"While this model is leading a unit, each time that unit ends a Charge move, until the end of the turn, add 1 to the Strength characteristic of melee weapons equipped by models in that unit.",[UNIT] [ACTIVE] [MELEE] [WEAPONS] [+1 S],2,0
SPECIAL_ISSUE_OPTICS_AND_AMMUNITION,Special-issue Optics and Ammunition,"SHOOTING — select one — RANGE [IGNORES COVER] or enemy within 24"" gets +6"" detection range until UNIT has shot.",Ignore Cover or detect +6”,"In your Shooting phase, when this unit is selected to shoot, you can select one of the following — this unit’s ranged attacks have [IGNORES COVER]; or select one enemy unit within 24"" of this unit. That enemy unit has +6"" detection range until this unit has shot.",[SHOOT] [WEAPONS] [ACTIVE] [IGNORES COVER],2,
SHROUDING,Shrouding,ENEMY targets UNIT — psychic roll; on 1 battle-shocked; otherwise attacks -1 To Hit this phase.,Psychic: incoming Hit -1,"Psychic level 1 — When an enemy unit targets this unit, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. On a 1, this unit is battle-shocked. Otherwise, attacks that target this unit have -1 to hit rolls until the end of the phase.","SHOOT, MELEE, [ACTIVE] [-1 TO HIT]",2,
APOTHECARY_NARTHECIUM,Narthecium,COMMAND — UNIT heals D3+1 wounds.,Heal D3+1 wounds,"In your Command phase, this unit heals D3+1 wounds.",,2,
DEPLOYMENT_COMPLETE,Deployment Complete,After setup and disembarkation — units cannot embark within UNIT.,After setup - no re-embark,"When this unit is set up and all units embarked within it have disembarked, units cannot embark within this unit.",,2,
SURGICAL_PRECISION,Vivispectral Analysis Targeting,UNIT attacks have [LETHAL HITS:non-VEHICLE].,Lethal vs non-Vehicle,This unit’s attacks have [LETHAL HITS:non-VEHICLE].,[SHOOT] [MELEE] [WEAPONS],2,
ASSAULT_TERMINATORS_THUNDER_HAMMER_POINTS,Storm Shield,Storm Shield +1 W each [+1 W],,Each model equipped with a Storm Shield has +1 Wound.,[STATS] [+1 W],3,
ANCIENT_TERMINATOR_STORM_SHIELD,Storm Shield,Storm Shield +1 W [+1 W],,Add 1 to the Wounds characteristic of the bearer.,[STATS] [+1 W],3,
BOLTER_DISCIPLINE_INTERCESSORS,Bolter Discipline,SHOOTING [UNIT] [+1 To Hit] if unit or target is within an objective,On objective - ranged Hit +1,"In your Shooting phase, if any of the following apply, ranged attacks made by this unit have +1 to hit rolls.
This unit is within range of an objective.
The target of that attack is within range of an objective.","UNIT, ACTIVE, SHOOT, WEAPONS, +1 TO HIT",2,0
TACTICAL_MAINSTAY_INTERCESSORS,Tactical Mainstay,"Can start Actions while Engaged / Battle-shocked
Actions do not prevent SHOOTING",Engaged can act; still shoot,"Being engaged / Battle-shocked does not prevent this unit from being eligible to start an action.
When this unit starts an action, that action does not prevent this unit from being eligible to shoot.",SHOOT,2,
ROBOUTE_GUILLIMAN_SUPREME_COMMANDER,Supreme Commander,Must be your WARLORD.,Must be your Warlord,"If this model is in your army, it must be your WARLORD.",,2,1
ROBOUTE_GUILLIMAN_CODEX_ADEPT,Codex Adept,ASSAULT / DEVASTATOR / TACTICAL doctrines active for this unit,All 3 doctrines active,"The assault doctrine, devastator doctrine and tactical doctrine are active for this unit.",,2,1
ROBOUTE_GUILLIMAN_PRIMARCH_OF_THE_XIII,Primarch of the XIII (Aura),"6"" friendly ADEPTUS ASTARTES
Attacks: RE-ROLL 1S TO HIT / WOUND [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO WOUND] [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO WOUND]",Aura - re-roll Hit/Wound 1s,"While a friendly ADEPTUS ASTARTES unit is within 6"" of this unit, that unit’s attacks can:
• Re-roll hit rolls of 1.
• Re-roll wound rolls of 1.","SHOOT, MELEE, [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO WOUND] [RE-ROLL 1S TO HIT] [RE-ROLL 1S TO WOUND]",2,1
ROBOUTE_GUILLIMAN_AUTHOR_OF_THE_CODEX,Author of the Codex,"MOVEMENT: visible friendly ADEPTUS ASTARTES within 12""
Give 1 COMBAT DOCTRINE until next COMMAND",Give ally 1 combat doctrine,"In your Movement phase, you can select one visible friendly ADEPTUS ASTARTES unit within 12"" of this model and select one combat doctrine. That combat doctrine is active for that unit in addition to any other combat doctrines that are active for that unit until the start of your next Command phase.",,2,1
ROBOUTE_GUILLIMAN_LEADER_OF_ASTARTES,Leader of Astartes,"Within 3"" of INFANTRY = LONE OPERATIVE. [LONE OP]",Near Infantry - Lone Op,"While this unit is within 3"" of a friendly ADEPTUS ASTARTES INFANTRY unit, this unit has Lone Operative.","SHOOT, [LONE OP]",2,1
ROBOUTE_GUILLIMAN_UNIT_COMPOSITION,Unit Composition,"1 Roboute Guilliman model
Equipped: 1 Emperor’s Sword; 1 Hand of Dominion",,"1 Roboute Guilliman model.

This model is equipped with: 1 Emperor’s Sword; 1 Hand of Dominion.",,3,0
MARNEUS_CALGAR_CODEX_ADEPT,Codex Adept,"Assault, Devastator and Tactical Doctrines active for this unit",All 3 doctrines active,"The assault doctrine, devastator doctrine and tactical doctrine are active for this unit.",,2,
MARNEUS_CALGAR_MASTER_TACTICIAN,Master Tactician,"MOVEMENT: visible unit within 9"" — 1 COMBAT DOCTRINE until next COMMAND",Give ally 1 combat doctrine,"In your Movement phase, you can select one visible friendly ADEPTUS ASTARTES unit within 9"" of this model and select one combat doctrine. That combat doctrine is active for that unit until the start of your next Command phase.",,2,
MARNEUS_CALGAR_THUNDERHAWK_INSERTION,Thunderhawk Insertion,Declare Battle Formations: 1 friendly GRAVIS/PHOBOS/TACTICUS unit gains Deep Strike,Infantry gains Deep Strike,"In the Declare Battle Formations step, you can select one friendly GRAVIS/PHOBOS/TACTICUS unit. That unit has Deep Strike.",,2,
MARNEUS_CALGAR_UNIT_COMPOSITION,Unit Composition,1 Marneus Calgar model,,"1 Marneus Calgar model
This model is equipped with: 1 Gauntlets of Ultramar.",,3,
CAPTAIN_TITUS_PRESS_THE_ATTACK,Press the Attack,"MELEE: SUSTAINED HITS 1: non-MONSTER/VEHICLE
ASSAULT DOCTRINE: SUSTAINED HITS 1",Melee Sustained Hits 1,"This unit’s melee attacks have:
• [SUSTAINED HITS 1: non-MONSTER/VEHICLE].
• Or: If the assault doctrine is active for this unit, [SUSTAINED HITS 1].",MELEE,2,1
CAPTAIN_TITUS_RIGHTEOUS_FURY,"Righteous Fury (Once per battle, per army)","FIGHT: melee +1 S
After fighting: heal D3 / 2D3 if enemy model destroyed this phase",Melee S +1; then heal D3/2D3,"In the Fight phase, you can use this ability. If you do, this unit’s melee attacks have +1 S, and when this unit has fought:
• This unit heals D3 wounds.
• Or: If this unit destroyed an enemy model this phase, this unit heals 2D3 wounds.",MELEE,2,1
CAPTAIN_TITUS_HONOUR_OF_ULTRAMAR,Honour of Ultramar,FIGHT: destroyed before selected to fight → 2+ fight before removal,Destroyed: 2+ fight first,"In the Fight phase, when this model is destroyed, if this unit has not been selected to fight this phase, roll one D6:
• On a 2+, do not remove this model from the battlefield. When your unit has fought, or at the end of the phase (whichever comes first), this model is removed from the battlefield.",MELEE,2,1
CAPTAIN_TITUS_UNIT_COMPOSITION,Unit Composition,"1 Captain Titus model
Equipped: 1 Bolt Pistol; 1 Master-crafted Bolter; 1 Master-crafted Chainsword",,"1 Captain Titus model.

This model is equipped with: 1 Bolt Pistol; 1 Master-crafted Bolter; 1 Master-crafted Chainsword.",,3,0
CHIEF_LIBRARIAN_TIGURIUS_CHIEF_LIBRARIAN,Chief Librarian (psyker level 3),Psychic level 3; has the Psychic abilities listed for this unit.,,This model has the psychic abilities listed in the Psychic Abilities section (see left).,,2,
CHIEF_LIBRARIAN_TIGURIUS_PRESCIENCE,Prescience (psychic level 2),MOVEMENT: Psychic roll; on a 1 Battle-shocked; +1 SV until start of next turn.,Psychic pass - Save +1,"In your Movement phase, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. If you do:
• On a 1, this unit is battle-shocked.
• This unit has +1 Sv until the start of your next turn.","SHOOT, MELEE",2,
CHIEF_LIBRARIAN_TIGURIUS_TELEPATHIC_ASSAULT,Telepathic Assault (psychic level 1),"SHOOTING: Psychic roll; on a 1 Battle-shocked; visible enemy within 24"" suffers 2D3 mortal wounds.",Psychic: 2D3 MW within 24”,"In your Shooting phase, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. If you do:
• On a 1, this unit is battle-shocked.
• Select one visible enemy unit within 24"" of this unit. That enemy unit suffers 2D3 mortal wounds.",,2,
CHIEF_LIBRARIAN_TIGURIUS_HOOD_OF_HELLFIRE,Hood of Hellfire (Psychic),FNP 4+ against psychic attacks and mortal wounds. [FNP 4+],FNP 4+ vs Psychic/MW,This unit has FNP 4+ against psychic attacks and mortal wounds.,"SHOOT, MELEE, [FNP 4+]",2,
CHIEF_LIBRARIAN_TIGURIUS_UNIT_COMPOSITION,Unit Composition,"1 Chief Librarian Tigurius model
Equipped: 1 Bolt Pistol; 1 Rod of Tigurius; 1 Storm of the Emperor’s Wrath",,"1 Chief Librarian Tigurius model
This model is equipped with: 1 Bolt Pistol; 1 Rod of Tigurius; 1 Storm of the Emperor’s Wrath.",,3,0
CATO_SICARIUS_KNIGHT_CHAMPION_OF_MACRAGGE,"Knight Champion of Macragge (Once per phase, per army)","OPPONENT MOVEMENT: enemy ends a move within 8""; if unengaged, move up to 6"".",Reactive Move 6”,"In your opponent’s Movement phase, when an enemy unit ends a move within 8"" of this unit, if this unit is unengaged, this unit can make a normal move of up to 6"".",,2,
CATO_SICARIUS_HONOUR_OR_DEATH,Honour or Death,Heroic Intervention targeting this unit costs -1CP.,Heroic Intervention -1CP,"When you target this unit with the Heroic Intervention Stratagem, that use is -1CP.",,2,
CATO_SICARIUS_CAPTAIN_OF_THE_HONOUR_GUARD,Captain of the Honour Guard,"If MARNEUS CALGAR is in the army, replace Leader with Support; both can still attach to the same unit.",,"If your army includes a MARNEUS CALGAR unit, replace this unit’s Leader ability with the Support ability (this unit can still be attached to the same units).",,3,
CATO_SICARIUS_UNIT_COMPOSITION,Unit Composition,"1 Cato Sicarius model
Equipped: 1 Artisan Plasma Pistol; 1 Talassarian Tempest Blade",,"1 Cato Sicarius model
This model is equipped with: 1 Artisan Plasma Pistol; 1 Talassarian Tempest Blade.",,3,0
WARDENS_OF_ULTRAMAR_SUPPORT,Support,Support,,Support.,,1,1
WARDENS_OF_ULTRAMAR_RAISE_THE_BANNER,Raise the Banner,"END OF MOVEMENT: If controlling an objective, that objective is SECURED.",Secure controlled objective,"At the end of your Movement phase, if this unit is controlling an objective, that objective is secured.",,2,1
WARDENS_OF_ULTRAMAR_STRATEGIUM_COMMAND,Strategium Command,Redeploy 3 units; may enter RESERVES.,Redeploy 3; may use Reserves,"When both players have deployed their armies, you can redeploy up to three friendly ADEPTUS ASTARTES units. When doing so, you can set those units up in strategic reserves, regardless of how many units are already in strategic reserves.",,2,1
WARDENS_OF_ULTRAMAR_MODEL_PROFILES,Model Profiles,"Gaius Silva / Aemelia Minervas / Dainal Kornelius / Lucia Vestha: M6 T3 SV4+/5++ W3 LD6+ OC1
Veteran Sergeant Metaurus: M6 T5 SV3+/4++ W4 LD6+ OC1
Ancient Gadriel: M6 T5 SV3+/4++ W4 LD6+ OC2",,"Gaius Silva, Aemelia Minervas, Dainal Kornelius and Lucia Vestha: M 6"", T 3, SV 4+, INSV 5+, W 3, LD 6+, OC 1.

Veteran Sergeant Metaurus: M 6"", T 5, SV 3+, INSV 4+, W 4, LD 6+, OC 1.

Ancient Gadriel: M 6"", T 5, SV 3+, INSV 4+, W 4, LD 6+, OC 2.",,3,0
WARDENS_OF_ULTRAMAR_UNIT_COMPOSITION,Unit Composition,1 Aemelia Minervas; 1 Ancient Gadriel; 1 Dainal Kornelius; 1 Gaius Silva; 1 Lucia Vestha; 1 Veteran Sergeant Metaurus,,"1 Aemelia Minervas model
1 Ancient Gadriel model
1 Dainal Kornelius model
1 Gaius Silva model
1 Lucia Vestha model
1 Veteran Sergeant Metaurus model

Aemelia Minervas is equipped with: 1 Archeotech Laspistol; 1 Power Weapon.
Ancient Gadriel is equipped with: 1 Bolt Rifle; 1 Ceramite Fists.
Dainal Kornelius is equipped with: 1 Astropathic Blast; 1 Force Stave.
Gaius Silva is equipped with: 1 Archeotech Laspistol; 1 Power Weapon.
Lucia Vestha is equipped with: 1 Archeotech Laspistol; 1 Ultramarian Combat Weapons.
Veteran Sergeant Metaurus is equipped with: 1 Heavy Bolt Pistol; 1 Master-crafted Power Weapon.",,3,0
VICTRIX_HONOUR_GUARD_GLORY_OF_ULTRAMAR,Glory of Ultramar,"OPP SHOOTING: Model destroyed → SURGE D6""",Shot ally dies - Surge D6”,"In your opponent’s Shooting phase, when an enemy unit has shot, if a model in this unit was destroyed by those attacks, this unit can make a surge move of up to D6"".",,2,1
