Ability_ID,Ability Name,Short_Description,Long_Description,Tags,Tag Categories,Order,Visibility_ID,Default_Active
COMPOSITION_MEGANOBZ,Unit Composition (Meganobz),2-6 Meganobz. Default Kustom Shoota + Power Klaw.,"UNIT COMPOSITION: 2-6 Meganob models.

Every model is equipped with: 1 Kustom Shoota; 1 Power Klaw.

WARGEAR OPTIONS: Any number of models can each have their Power Klaw replaced with 1 Killsaw. Any number of models can each have their Kustom Shoota replaced with 1 Kombi-weapon. Any number of models can each have their Power Klaw and Kustom Shoota replaced with Twin Killsaws.",,,9,3,
DAMAGED_7,Damaged 7,While 1–7 wounds remaining,CORE: Damaged 7,[-1 TO HIT] [-1 TO HIT],[Melee - Combat Modifiers] [Range - Combat Modifiers],0,1,0
DEADLY_DEMISE_1,Deadly Demise 1,CORE: Deadly Demise 1,CORE: Deadly Demise 1,,,0,1,
DEADLY_DEMISE_D3,Deadly Demise D3,CORE: Deadly Demise D3,CORE: Deadly Demise D3,,,0,1,
DREAD_ARD,Dread ’Ard,ANYTIME — incoming attacks,Attacks targeting this model have -1 damage,[INCOMING -1 D],[Info Only],0,1,1
FIRING_DECK_12,Firing Deck 12,CORE: Firing Deck 12,CORE: Firing Deck 12,,,0,1,
FULLY_LOADED_BUTCHERY,Fully Loaded Butchery,Butcha Boyz gets +2A per embarked model (max +22A),This unit’s Butcha Boyz weapon has +2 A for each model embarked within this unit (to a maximum of +22 A),,,0,1,
GUT_HATCH,Gut Hatch,"When this unit ends a normal move, embarked units can assault disembark.","In your Movement phase, when this unit ends a normal move, units embarked within this unit can make an assault disembark move (pg 12).",,,0,1,
INTIMIDATING_MOTIVATION,Intimidating Motivation,"Once per Battle Round
Start or End of Movement
Orks 6"" un-shock and RILED UP.","Intimidating Motivation (Once per battle round, per army): In your Movement phase, at the start or end of this unit's move, you can select one friendly ORKS unit within 6"" of this unit. That unit:
- Is no longer battle-shocked.
- Is RILED UP until the start of your next turn.",[INTIMIDATING MOTIVATION],[Info Only],10,1,
MOBILE_ARSENAL,Mobile Arsenal,SHOOTING: Re-roll 1s To Hit,"In your shooting phase, this units ranged attacks can re-roll hit rolls of 1",[RE-ROLL 1S TO HIT],[Range - Combat Modifiers],0,1,1
NAZDREGS_KNOW_WOTZ,Nazdreg’s Know-wotz,Ranged: IGNORES COVER,"- This unit has Deep Strike.
- This unit’s ranged attacks have [IGNORES COVER].",[DEEP STRIKE] [IGNORES COVER],[Unit Rules] [Range - Weapon Rules],0,1,
PILIN_OUT,Pilin’ Out,"Enemy ends move 8""
Embarked can Rapid disembark","In your opponent’s Movement phase, when an enemy unit ends a move within 8"" of this model, units embarked within this model can make a disembark move using the rapid disembark mode.",,,0,1,
SPITEFUL_POWER_TRIP,Spiteful Power Trip,vs units with no T7+ models,This unit’s attacks that target a unit that has no models with a T of 7+ have +1 to hit rolls.,[+1 TO HIT] [+1 TO HIT],[Melee - Combat Modifiers] [Range - Combat Modifiers],0,1,0
SUPREME_KUNNIN,Supreme Kunnin’,"REACTIVE MOVE
Once per phase:
Enemy ends move within 8"" and this unit is unengaged:
- Move D6"" 
- RILED UP: Move 5""","Supreme Kunnin’ (Once per phase, per army): In your opponent’s Movement phase, when an enemy unit ends a move within 8"" of this unit, if this unit is unengaged, this unit can:
- Make a normal move of up to D6"".
- Or: If this unit is RILED UP, make a normal move of up to 5"".",,,0,1,
TRAMPLASAQUIG_CHARGE,Tramplasaquig Charge,Crushing Impact stratagem costs -1 CP when targeting this unit,"When you target this unit with the Crushing Impact stratagem, that use is -1 CP.",,,0,1,
TRANSPORT_GORK_MORK,Transport (Gorkanaut/Morkanaut),Transport capacity 12 Orks Infantry (Mega Armour/Jump Pack = 2; no Ghaz),Transport: This model has a transport capacity of 12 ORKS INFANTRY models. It cannot transport GHAZGHKULL THRAKA models. Each MEGA ARMOUR / JUMP PACK model takes up the space of 2 models.,,,9,3,
TRANSPORT_HUNTA_RIG,Transport (Hunta Rig),Transport capacity 22 BEAST SNAGGA INFANTRY,Transport: This model has a transport capacity of 22 BEAST SNAGGAS INFANTRY models.,,,9,3,
DA_JUMP,Da Jump,Psychic: on 2+ place in Strategic Reserves and gain Deep Strike.,"Da Jump (psychic level 1, once per army, per battle round): In your Movement phase, if this unit is not battle-shocked, you can make a psychic roll for this unit by rolling one D6. If you do:
- On a 1, this unit is battle-shocked.
- Place this unit in strategic reserves.
- This unit has Deep Strike.",[DEEP STRIKE],[Unit Rules],0,1,
DEFF_FROM_THE_SHADOWS,Deff from the Shadows,"From battle round 1 onwards, Ingress from SR at end of opponent Movement.","Deff from the Shadows (First battle round onwards): At the end of your opponent's Movement phase, if this unit is in strategic reserves, this unit can make an Ingress move.",[INGRESS],[Movement Rules],0,1,
BOSS_AMMO_RUNT,Boss' Ammo Runt,Once per battle — RANGE,"Boss' Ammo Runt (Once per battle, per unit): In your Shooting phase, when this unit is selected to shoot, you can use this ability. If you do, this model's ranged attacks have +1 to hit rolls. Place a Boss' Ammo Runt token next to the unit, removing it when this ability is used.",[+1 TO HIT],[Range - Combat Modifiers],0,1,0
COMPOSITION_WARBOSS,Unit Composition (Warboss),1 Warboss. Default Kustom Choppa + Kustom Shoota.,"UNIT COMPOSITION: 1 Warboss model.

This model is equipped with: 1 Kustom Choppa; 1 Kustom Shoota.

WARGEAR OPTIONS: This model's Kustom Choppa can be replaced with 1 Power Klaw. This model's Kustom Shoota can be replaced with one of the following: 1 Kombi-rokkit; 1 Kombi-skorcha.",,,9,3,
KEEP_HUNTIN,Keep Huntin',"Once per Battle Round:  BEAST SNAGGAS 6"" are un-shock and RILED UP.","Keep Huntin' (Once per battle round, per army): In your Movement phase, at the start or end of this unit's move, you can select one friendly BEAST SNAGGA unit within 6"" of this unit. That unit:
- Is no longer battle-shocked.
- Is RILED UP until the start of your next turn.",[KEEP HUNTIN'],[Info Only],10,1,
DODGE_DIS,Dodge Dis!,UNIT +1 To Hit MELEE and SHOOTING,This unit's attacks have +1 to hit rolls.,[+1 TO HIT] [+1 TO HIT],[Melee - Combat Modifiers] [Range - Combat Modifiers],0,1,1
BEAST_SNAGGA_FOLLOWING,Beast Snagga Following,"Within 3"" of friendly BEAST SNAGGA (excluding MONSTER CHARACTER)","While this unit is within 3"" of a friendly BEAST SNAGGA unit (excluding MONSTER CHARACTER units), this unit has Lone Operative.","[LONE OP 3""]",[Unit Rules],0,2,0
BOSS_OF_DA_HUNT,Boss of da Hunt,"Within 3"" of friendly BEAST SNAGGA (excluding MONSTER CHARACTER)","While this unit is within 3"" of a friendly BEAST SNAGGA unit (excluding MONSTER CHARACTER units), this unit has Lone Operative.","[LONE OP 3""]",[Unit Rules],0,2,0
COMPOSITION_BEASTBOSS_SQUIGOSAUR,Unit Composition (Beastboss on Squigosaur),"1 Beastboss on Squigosaur. Beastchoppa, Slugga, Jaws. Optional Thump Gun.","UNIT COMPOSITION: 1 Beastboss on Squigosaur model.

This model is equipped with: 1 Beastchoppa; 1 Slugga; 1 Squigosaur's Jaws.

WARGEAR OPTIONS: This model can be equipped with 1 Thump Gun.",,,9,3,
LONE_OPERATIVE,LONE OP,CORE: Lone Operative,CORE: Lone Operative,[LONE OPERATIVE],[Unit Rules],0,2,
UNSTABLE_ENERGIES,Unstable Energies,ARMY RULE: Unstable Energies,ARMY RULE: Unstable Energies,,,0,1,
KNUCKLE_IMPETUS,Knuckle Impetus,"On charge, D6 per engaged model: 4+ MW.","When this unit ends a charge move, you can select one enemy unit engaged with this unit. If you do, roll one D6 for each model in this unit engaged with that enemy unit:
- For each 4+, that enemy unit suffers 1 mortal wound.",,,0,1,
COMPOSITION_BIG_MEK,Unit Composition (Big Mek),1 Big Mek. Kustom Mega-blasta + Power Klaw.,"UNIT COMPOSITION: 1 Big Mek model.

This model is equipped with: 1 Kustom Mega-blasta; 1 Power Klaw.

WARGEAR OPTIONS: This model's Power Klaw can be replaced with 1 Drilla. This model's Kustom Mega-blasta can be replaced with 1 Traktor Blasta.",,,9,3,
FIX_DAT_ARMOUR,Fix Dat Armour Up,"Once per battle, heal 3 wounds.","Fix Dat Armour Up (Once per battle, per unit): In your Command phase, this unit heals 3 wounds. Place a Grot Oiler token next to the unit, removing it when this ability is used.",,,0,1,
COMPOSITION_BIG_MEK_MA,Unit Composition (Big Mek in Mega Armour),1 Big Mek in Mega Armour. Kustom Shoota + Power Klaw.,"UNIT COMPOSITION: 1 Big Mek in Mega Armour model.

This model is equipped with: 1 Kustom Shoota; 1 Power Klaw.

WARGEAR OPTIONS: This model can be equipped with one of the following: 1 Telleport Blasta; 1 Kustom Force Field. This model's Kustom Shoota can be replaced with one of the following: 1 Killsaw; 1 Kombi-weapon; 1 Kustom Mega-blasta.",,,9,3,
SUPPORT_SHOKKA,Support Shokka,"Within 3"" of friendly ORKS INFANTRY (excluding other SAG)","While this model is within 3"" of a friendly ORKS INFANTRY unit (excluding BIG MEK WITH SHOKK ATTACK GUN units), this model has Lone Operative.","[LONE OP 3""]",[Unit Rules],9,3,0
EVEN_MORE_DAKKA,Even More Dakka,RILED UP: RANGE [SUSTAINED HITS 1],"If this unit is RILED UP, this unit's ranged attacks have [SUSTAINED HITS 1].",[SUSTAINED HITS 1],[Range - Weapon Rules],0,1,0
BLITZ_DEM_GITS,Blitz Dem Gits!,Blitzkannon vs non-MONSTER / VEHICLE,"In your Shooting phase, if this unit's Blitzkannon weapon targets a unit (excluding MONSTER / VEHICLE units), that weapon has +6 A.",[+6 A],[Range - Weapon Stats],0,1,0
KUSTOM_DAKKA,Kustom Dakka,ANYTIME — RANGE,This unit's ranged attacks have [IGNORES COVER].,[IGNORES COVER],[Range - Weapon Rules],0,1,1
CLEVER_KNOW_WOTZ,Clever Know-wotz,"Buff a Vehicle within 3"": heal D3 and +1 to hit until next Movement.","In your Movement phase, at the start or end of this unit's move, you can select one friendly ORKS VEHICLE model (excluding AIRCRAFT / TITANIC models) within 3"" of this model: - That VEHICLE model heals D3 wounds. - That VEHICLE model's attacks have +1 to hit rolls until the start of your next Movement phase.",[+1 TO HIT] [+1 TO HIT],[Melee - Combat Modifiers] [Range - Combat Modifiers],0,1,
GET_BACK_IN_DA_RACE,Get Back in da Race,"Once per BR: Speed Freeks within 6"" un-shock and RILED UP.","Get Back in da Race (Once per battle round, per army): In your Movement phase, at the start or end of this unit's move, you can select one friendly SPEED FREEKS unit within 6"" of this unit. That unit (and any units embarked within that unit):
- Is no longer battle-shocked.
- Is RILED UP until the start of your next turn.",,,0,1,
FUEL_MIXA_GROB,Fuel-mixa Grob,ADVANCE,This unit has +1 to advance rolls.,[+1 M”],[Unit Stats],0,1,0
CRUDE_SURGERY,Crude Surgery,In Command phase: Heals 3 wounds,"In your Command phase, this unit heals 3 wounds.",,,0,1,
CANT_CUT_DAT_BIT,Can't Cut Dat Bit,"Once per battle.
Crude Surgery is D3+3","Can't Cut Dat Bit (Once per battle, per unit): When this model uses its Crude Surgery ability you can add D3 to the number of wounds healed.  Place a Grot Orderly token next to the unit, removing it when this ability is used.",,,0,1,
PUSH_DAT_BIT_BACK,Push Dat Bit Back,"Once per battle: Beast Snagga within 6"" heals 3.","Push Dat Bit Back (Once per battle, per unit): In your Command phase, select one friendly BEAST SNAGGA unit within 6"" of this unit. That unit heals 3 wounds. Place a Grot Orderly token next to the unit, removing it when this ability is used.",,,0,1,
HARDY_BILIOUS,Hardy Bioniks,Attack Strength higher Toughness: -1 to Wound.,"Each time an attack targets this unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of this unit, subtract 1 from the Wound roll.",[INCOMING -1 TO WOUND],[Info Only],0,1,
RIDIN_WIV_DA_HERD,Ridin' wiv da Herd,"If attached to a Mounted unit, loses Infantry, gains Mounted and +4"" M.","While this model is attached to a MOUNTED unit, this model:
- Does not have INFANTRY
- Has MOUNTED and not INFANTRY
- Has +4"" M",[+4 M”],[Unit Stats],0,1,
THEYLL_LEARN_YA,That’ll Learn Ya,"Once per battle round: if Battle-shocked with 4+ Gretchin, destroy D3 Gretchin to recover.","That’ll Learn Ya (Once per battle round, per unit): When this unit becomes Battle-shocked, if this unit contains 4 or more Gretchin models, you can roll one D3. If you do, that many Gretchin models in this unit are destroyed and this unit is no longer Battle-shocked.",,,0,1,
COMPOSITION_MEK_GUNZ,Unit Composition (Mek Gunz),1-3 Mek Gunz. Scavenged Shivs + Smasha Gun.,"UNIT COMPOSITION: 1-3 Mek Gunz models.

Every model is equipped with: 1 Scavenged Shivs; 1 Smasha Gun.

WARGEAR OPTIONS: Any number of models can each have their Smasha Gun replaced with one of the following: 1 Bubblechukka; 1 Kustom Mega-kannon; 1 Traktor Kannon.",,,9,3,
BOOM_BOMB,Boom Bomb,"End of opponent Fight phase: visible enemy within 24"" (not LO), D6: 1-3 D3 MW, 4-5 D3 MW, 6 D6 MW.","At the end of your opponent's Fight phase, select one visible enemy unit (excluding Lone Operative units) within 24"" of this unit and roll one D6 for that unit:
- On a 1-3, that enemy unit suffers D3 mortal wounds.
- On a 4-5, that enemy unit suffers D3 mortal wounds.
- On a 6, that enemy unit suffers D6 mortal wounds.",,,0,1,
STRAFING_RUN,Strafing Run,RANGE vs non-FLY,"In your Shooting phase, this unit's ranged attacks that target a unit (excluding FLY units) have +1 to hit rolls.",[+1 TO HIT],[Range - Combat Modifiers],0,1,0
BURNA_BOMB,Burna Bomb,End of opponent Fight phase: D3 MW on 2+ and IGNORES COVER until your next turn.,"At the end of your opponent's Fight phase, select one visible enemy unit (excluding Lone Operative and MONSTER / VEHICLE units) within 18"" of this unit and roll one D6. On a 2+:
- That enemy unit suffers D3 mortal wounds.
- That enemy unit cannot be hidden until the end of your next turn.
- Ranged attacks that target that enemy unit have [IGNORES COVER] until the end of your next turn.",[IGNORES COVER],[Range - Weapon Rules],0,1,
GO_FER_DA_WEAK_SPOT,Go fer da Weak Spot,RANGE vs MONSTER / VEHICLE,"In your Shooting phase, this unit's ranged attacks that target a MONSTER / VEHICLE unit have +1 to wound rolls.",[+1 TO WOUND],[Range - Combat Modifiers],0,1,0
WAZBOM_FORCE_FIELD,Wazbom Force Field,ANYTIME: does not have SMOKE,"Models in this unit:
- Have 5+ InSv.
- Do not have SMOKE.",[INVULNERABLE SAVE 5+],[Unit Rules],0,1,1
DRIVE_BY_SKORCHIN,Drive-by Skorchin',"Visible non-MONSTER / VEHICLE within 6"" cannot be Overwatched this turn.","In your Movement phase, you can select one visible enemy unit (excluding MONSTER / VEHICLE units) within 6"" of this unit:
- That enemy unit cannot be targeted with the Fire Overwatch stratagem until the end of the turn.",,,0,1,
COMPOSITION_WARBUGGIES,Unit Composition (Warbuggies),"1-2 Warbuggy. Extra Dakka, Mek Speshul, Spiked Ram.","UNIT COMPOSITION: 1-2 Warbuggy models.

Every model is equipped with: 1 Extra Dakka; 1 Mek Speshul; 1 Spiked Ram.

WARGEAR OPTIONS: Any number of models can each have their Mek Speshul replaced with 1 Rivet Kannon.",,,9,3,
SQUIG_BARRAGE,Squig Barrage,"After shooting, non-MONSTER / VEHICLE hit by Squig Launchas is covered in Squigs (-1 to hit).","In your Shooting phase, when this unit has shot, select one enemy unit (excluding MONSTER / VEHICLE units) hit by this unit's Squig Launchas weapons. That enemy unit is covered in Squigs until the start of your next turn:
- While a unit is covered in Squigs, that unit's attacks have -1 to hit rolls.",[ENEMY -1 TO HIT],[Info Only],0,1,
RAUCOUS_OCCUPANTS,Raucous Occupants,"On home objective, add embarked OC to this model’s OC.","While this model is within range of your home objective, add the OC of models embarked within this model to this model's OC.",,,0,1,
FORTIFICATION,Fortification,Standard fortification targeting / fall-back / auto-pass hazard rules.,"While an enemy unit is engaged with only FORTIFICATION units:
- That enemy unit can be selected as a target of ranged attacks.
- When shooting that enemy unit, those ranged attacks have -1 to hit rolls (excluding [CLOSE-QUARTERS] attacks).
- When that enemy unit is selected to make a fall-back move, if that enemy unit is only engaged with FORTIFICATION units, and that enemy unit is not battle-shocked, hazard rolls made for that enemy unit are automatically passed.",[OUTGOING RANGE -1 TO HIT] [ENEMY AUTO-PASS HAZARD],[Info Only] [Info Only],0,1,
RAMSHACKLE_COVER,Ramshackle Cover,If target is not fully visible because of this unit,"When an attack targets a unit that is not fully visible to the attacking model because of this unit, the target has the benefit of cover against that attack.",[TARGET GETS COVER],[Info Only],0,1,0
TRANSPORT_BOSSBUNKA,Transport (Big’ed Bossbunka),11 Orks Infantry. No Ghaz. Mega/Jump = 2.,Transport: This model has a transport capacity of 11 ORKS INFANTRY models. It cannot transport GHAZGHKULL THRAKA models. Each MEGA ARMOUR / JUMP PACK model takes up the space of 2 models.,,,9,3,
COMPOSITION_BOSSBUNKA,Unit Composition (Big’ed Bossbunka),1 Big’ed Bossbunka. Big Shoota + Gaze of Gork.,"UNIT COMPOSITION: 1 Big'ed Bossbunka model.

This model is equipped with: 1 Big Shoota; 1 Gaze of Gork.

WARGEAR OPTIONS: This model can be equipped with up to 3 Big Shootas.",,,9,3,
COMPOSITION_DAKKAJET,Unit Composition (Dakkajet),1 Dakkajet. Armoured Impact + 2 Dual Supa-shootas.,"UNIT COMPOSITION: 1 Dakkajet model.

This model is equipped with: 1 Armoured Impact; 2 Dual Supa-shootas.

WARGEAR OPTIONS: This model can be equipped with 1 Dual Supa-shoota.",,,9,3,
COMPOSITION_BURNA_BOMMER,Unit Composition (Burna-Bommer),"1 Burna-Bommer. Armoured Impact, Dual Big Shoota, Dual Supa-shoota.","UNIT COMPOSITION: 1 Burna-Bommer model.

This model is equipped with: 1 Armoured Impact; 1 Dual Big Shoota; 1 Dual Supa-shoota.

WARGEAR OPTIONS: This model can be equipped with 1 Skorcha Missile Rack.",,,9,3,
DAMAGED_4,Damaged 4,CORE: Damaged 4,CORE: Damaged 4,,,0,1,
MADCAP_ARTILLERY,Madcap Artillery,"After shooting same-type Mek Gunz, apply wobbled / zapped / smashed / grounded.","In your Shooting phase, when this unit has shot, if all ranged weapons equipped by each Mek Gunz model in this unit are the same, select one enemy unit hit by those attacks. That enemy unit has the ability below that matches that weapon's name until the start of your next turn.
- Bubblechukka: This unit is wobbled. While a unit is wobbled, if it is attacking, its targets have the benefit of cover against those attacks.
- Kustom Mega-kannon: This unit is zapped. While a unit is zapped, that unit has -1 Ld.
- Smasha Gun: This unit is smashed. While a unit is smashed, that unit has -2"" M.
- Traktor Kannon: This unit is grounded. While a unit is grounded it cannot take to the skies.
Place five Grot Crew tokens next to each Mek Gunz model, removing one each time this Mek Gunz model loses a wound (a Mek Gunz model itself is considered to represent its final wound).",[TARGET GETS COVER] [ENEMY -1 LD] [ENEMY -2 M”] [ENEMY GROUNDED],[Info Only] [Info Only] [Info Only] [Info Only],0,1,
LEADER_NAZDREG,LEADER,Can Lead: MEGANOBZ,,,,9,3,
SUPPORT_BIGBOSS,SUPPORT,"Can Support: BOYZ, BREAKA BOYZ, NOBZ",,,,9,3,
SUPPORT_MEK,SUPPORT,"Can Support: BOYZ, FLASH GITZ, MEK GUNZ, NOBZ, TANKBUSTAS",,,,9,3,
SUPPORT_PAINBOSS,SUPPORT,"Can Support: BEAST SNAGGA BOYZ, SQUIGHOG BOYZ",,,,9,3,
SUPPORT_RUNTHERD,SUPPORT,Can Support: GRETCHIN,,,,9,3,
SUPPORT_WEIRDBOY,SUPPORT,"Can Support: BEAST SNAGGA BOYZ, BOYZ",,,,9,3,
LED_BY_BEAST_SNAGGA_BOYZ,LED BY (BEAST SNAGGA BOYZ),"Can be led by: BEASTBOSS, PAINBOSS, WEIRDBOY",,,,9,3,
LED_BY_BOYZ,LED BY (BOYZ),"Can be led by: BIG MEK, BIG MEK WITH SHOKK ATTACK GUN, WARBOSS, BANNERNOB, BIGBOSS, MEK, PAINBOY, WEIRDBOY",,,,9,3,
LED_BY_BREAKA_BOYZ,LED BY (BREAKA BOYZ),"Can be led by: BIG MEK, WARBOSS, BIGBOSS, PAINBOY",,,,9,3,
LED_BY_FLASH_GITZ,LED BY (FLASH GITZ),"Can be led by: BIG MEK, MEK, PAINBOY",,,,9,3,
LED_BY_MEK_GUNZ,LED BY (MEK GUNZ),"Can be led by: BIG MEK, BIG MEK IN MEGA ARMOUR, BIG MEK WITH SHOKK ATTACK GUN, MEK",,,,9,3,
LED_BY_NOBZ,LED BY (NOBZ),"Can be led by: BIG MEK, BIG MEK WITH SHOKK ATTACK GUN, WARBOSS, BANNERNOB, BIGBOSS, MEK, PAINBOY",,,,9,3,
LED_BY_TANKBUSTAS,LED BY (TANKBUSTAS),"Can be led by: BIG MEK, BIG MEK WITH SHOKK ATTACK GUN, MEK, PAINBOY",,,,9,3,
LED_BY_MEGANOBZ,LED BY (MEGANOBZ),"Can be led by: BIG MEK IN MEGA ARMOUR, NAZDREG, WARBOSS IN MEGA ARMOUR",,,,9,3,
LED_BY_KOMMANDOS,LED BY (KOMMANDOS),Can be led by: BOSS SNIKROT,,,,9,3,
LED_BY_WARBIKERS,LED BY (WARBIKERS),Can be led by: DEFFKILLA WARTRIKE,,,,9,3,
LED_BY_GRETCHIN,LED BY (GRETCHIN),"Can be led by: ZODGROD WORTSNAGGA, RUNTHERD",,,,9,3,
LED_BY_SQUIGHOG_BOYZ,LED BY (SQUIGHOG BOYZ),Can be led by: PAINBOSS,,,,9,3,
GUNWAGON_ZZAP_GUN_POINTS,Gunwagon Zzap Gun,Gunwagon Zzap Gun +10 Pts,A Gunwagon equipped with a Zzap Gun costs +10 points.,[+10 Pts],[Points],8,4,
BOYZ_NOB_WOUNDS,Nobz,Nobz are 3 Wounds.,,,,1,1,
SQUIGHOG_BOYZ_SMASHA_NOB_PROFILE,Nobz on Smasha Squig,Nobz on Smasha Squig has 4 Wounds.,,,,1,1,
BEAST_SNAGGA_BOYZ_NOB_PROFILE,Beast Snagga Nobz,Beast Snagga Nobz have 3 Wounds.,,,,1,1,
